CMA_Name,CMA_pop
"Abilene-Sweetwater, TX",198460
"Albany-Schenectady, NY",1200632
"Albuquerque-Santa Fe-Los Alamos, NM",1174222
"Allentown-Bethlehem-East Stroudsburg, PA-NJ",1052941
"Altoona-Huntingdon, PA",163628
"Amarillo-Borger, TX",294371
"Appleton-Oshkosh-Neenah, WI",422299
"Asheville-Waynesville-Brevard, NC",519484
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",7340522
"Baton Rouge-Hammond, LA",1022475
"Birmingham-Cullman-Talladega, AL",1376853
"Bloomington-Bedford, IN",207745
"Bloomington-Pontiac, IL",207444
"Bloomsburg-Berwick-Sunbury, PA",255940
"Boise City-Mountain Home-Ontario, ID-OR",935583
"Boston-Worcester-Providence, MA-RI-NH",8493824
"Bowling Green-Glasgow-Franklin, KY",271676
"Brookings-Crescent City, OR-CA",49783
"Brownsville-Harlingen-Raymondville, TX",451901
"Buffalo-Cheektowaga-Olean, NY",1235647
"Burlington-Fort Madison, IA-IL",76835
"Burlington-South Burlington-Barre, VT",289289
"Cape Coral-Fort Myers-Naples, FL",1336454
"Cape Girardeau-Sikeston, MO-IL",148569
"Carbondale-Marion-Herrin, IL",120263
"Cedar Rapids-Iowa City, IA",461388
"Champaign-Urbana-Danville, IL",313559
"Charleston-Huntington-Ashland, WV-OH-KY",640809
"Charlotte-Concord, NC-SC",3471190
"Chattanooga-Cleveland-Dalton, TN-GA-AL",1016333
"Chicago-Naperville, IL-IN-WI",9941597
"Cincinnati-Wilmington, OH-KY-IN",2344834
"Cleveland-Akron-Canton, OH",3750887
"Columbia-Jefferson City-Moberly, MO",419330
"Columbia-Sumter-Orangeburg, SC",1097301
"Columbus-Auburn-Opelika, GA-AL",571048
"Columbus-Marion-Zanesville, OH",2693133
"Corpus Christi-Kingsville-Alice, TX",526255
"Dallas-Fort Worth, TX-OK",8909918
"Davenport-Moline, IA-IL",469948
"Dayton-Springfield-Kettering, OH",1095046
"Denver-Aurora-Greeley, CO",3752505
"Des Moines-West Des Moines-Ames, IA",939222
"Detroit-Warren-Ann Arbor, MI",5430523
"Dixon-Sterling, IL",88201
"Dothan-Enterprise-Ozark, AL",261191
"Duluth-Grand Rapids, MN-WI",327257
"Eau Claire-Menomonie, WI",222288
"Edwards-Rifle, CO",134140
"Elmira-Corning, NY",173130
"El Paso-Las Cruces, TX-NM",1108758
"Erie-Meadville, PA",349839
"Evansville-Henderson, IN-KY",328822
"Fairmont-Clarksburg, WV",144174
"Fargo-Wahpeton, ND-MN",290719
"Fayetteville-Lumberton-Pinehurst, NC",696741
"Findlay-Tiffin, OH",129746
